index,id,type,name_en,name_zh,mana,max_uses,price,spawn_level,spawn_probability,related_projectiles,custom_xml_file,never_unlimited,custom_uses_logic,description_en,description_zh,action_summary,action_body_lines
1,BOMB,ACTION_TYPE_PROJECTILE,Bomb,炸弹,25,3,200,"0,1,2,3,4,5,6","1,1,1,1,0.5,0.5,0.1",data/entities/projectiles/bomb.xml,data/entities/misc/custom_cards/bomb.xml,,,Summons a bomb that destroys ground very efficiently,召唤一枚破坏地面极为高效的炸弹,"投射物/触发: add_projectile(""data/entities/projectiles/bomb.xml"") | 状态修正: c.fire_rate_wait += 100",2
2,LIGHT_BULLET,ACTION_TYPE_PROJECTILE,Spark bolt,火花弹,5,-1,100,"0,1,2","2,1,0.5",data/entities/projectiles/deck/light_bullet.xml,,,,A weak but enchanting sparkling projectile,弱小但带有迷人闪烁的投射物,"投射物/触发: add_projectile(""data/entities/projectiles/deck/light_bullet.xml"") | 状态修正: c.fire_rate_wait += 3; c.screenshake += 0.5; c.spread_degrees -= 1.0; c.damage_critical_chance += 5",5
3,LIGHT_BULLET_TRIGGER,ACTION_TYPE_PROJECTILE,Spark bolt with trigger,带有触发的火花弹,10,100,140,"0,1,2,3","1,0.5,0.5,0.5",data/entities/projectiles/deck/light_bullet.xml,,,,A spark bolt that casts another spell upon collision,在碰撞时施放另一法术的火花弹,"投射物/触发: add_projectile_trigger_hit_world(""data/entities/projectiles/deck/light_bullet.xml"", 1) | 状态修正: c.fire_rate_wait += 3; c.screenshake += 0.5; c.damage_critical_chance += 5",4
4,LIGHT_BULLET_TRIGGER_2,ACTION_TYPE_PROJECTILE,Spark bolt with double trigger,带有双重触发的火花弹,15,100,250,"2,3,5,6,10","1,0.5,1,1,0.2",data/entities/projectiles/deck/light_bullet_blue.xml,,,,A spark bolt that casts two new spells upon collision,在碰撞时施放两个全新法术的火花弹,"投射物/触发: add_projectile_trigger_hit_world(""data/entities/projectiles/deck/light_bullet_blue.xml"", 2) | 状态修正: c.fire_rate_wait += 4; c.screenshake += 1; c.damage_critical_chance += 5",4
5,LIGHT_BULLET_TIMER,ACTION_TYPE_PROJECTILE,Spark bolt with timer,带有定时的火花弹,10,100,140,"1,2,3","0.5,0.5,0.75",data/entities/projectiles/deck/light_bullet.xml,,,,A spark bolt that casts another spell after a timer runs out,在定时结束后施放另一法术的火花弹,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/light_bullet.xml"", 10, 1) | 状态修正: c.fire_rate_wait += 3; c.screenshake += 0.5; c.damage_critical_chance += 5",4
6,BULLET,ACTION_TYPE_PROJECTILE,Magic arrow,魔法箭,20,-1,150,"1,2,3,4,5","1,1,1,0.8,0.5",data/entities/projectiles/deck/bullet.xml,,,,A handy magical arrow,好用的魔法箭,"投射物/触发: add_projectile(""data/entities/projectiles/deck/bullet.xml"") | 状态修正: c.fire_rate_wait += 4; c.screenshake += 2; c.spread_degrees += 2.0; c.damage_critical_chance += 5",6
7,BULLET_TRIGGER,ACTION_TYPE_PROJECTILE,Magic arrow with trigger,带有触发的魔法箭,35,80,190,"1,2,3,4,5","0.5,0.5,0.5,0.6,0.5",data/entities/projectiles/deck/bullet.xml,,,,A magical arrow that casts another spell upon collision,在碰撞时施放另一法术的魔法箭,"投射物/触发: add_projectile_trigger_hit_world(""data/entities/projectiles/deck/bullet.xml"", 1) | 状态修正: c.fire_rate_wait += 4; c.screenshake += 2; c.spread_degrees += 2.0; c.damage_critical_chance += 5",6
8,BULLET_TIMER,ACTION_TYPE_PROJECTILE,Magic arrow with timer,带有定时的魔法箭,35,80,190,"2,3,4,5,6","0.5,0.5,0.5,0.5,0.6",data/entities/projectiles/deck/bullet.xml,,,,A magical arrow that casts another spell after a timer runs out,在定时结束后施放另一法术的魔法箭,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/bullet.xml"", 10, 1) | 状态修正: c.fire_rate_wait += 4; c.screenshake += 2; c.spread_degrees += 2.0; c.damage_critical_chance += 5",6
9,HEAVY_BULLET,ACTION_TYPE_PROJECTILE,Magic bolt,魔法弹,30,50,200,"1,2,3,4,5,6","0.5,1,1,1,1,1",data/entities/projectiles/deck/bullet_heavy.xml,,,,A powerful magical bolt,强力的魔法弹,"投射物/触发: add_projectile(""data/entities/projectiles/deck/bullet_heavy.xml"") | 状态修正: c.fire_rate_wait += 7; c.screenshake += 2.5; c.spread_degrees += 5.0; c.damage_critical_chance += 5",7
10,HEAVY_BULLET_TRIGGER,ACTION_TYPE_PROJECTILE,Magic bolt with trigger,带有触发的魔法弹,40,50,240,"2,3,4,5,6","0.5,0.5,0.5,0.7,0.5",data/entities/projectiles/deck/bullet_heavy.xml,,,,A powerful magical bolt that casts another spell upon collision,在碰撞时施放另一法术的强力魔法弹,"投射物/触发: add_projectile_trigger_hit_world(""data/entities/projectiles/deck/bullet_heavy.xml"", 1) | 状态修正: c.fire_rate_wait += 7; c.screenshake += 2.5; c.spread_degrees += 5.0; c.damage_critical_chance += 5",7
11,HEAVY_BULLET_TIMER,ACTION_TYPE_PROJECTILE,Magic bolt with timer,带有定时的魔法弹,40,50,240,"2,3,4,5,6","0.5,0.5,0.5,0.5,0.7",data/entities/projectiles/deck/bullet_heavy.xml,,,,A powerful magical bolt that casts another spell after a timer runs out,在定时结束后施放另一法术的强力魔法弹,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/bullet_heavy.xml"", 10, 1) | 状态修正: c.fire_rate_wait += 7; c.screenshake += 2.5; c.spread_degrees += 5.0; c.damage_critical_chance += 5",7
12,AIR_BULLET,ACTION_TYPE_PROJECTILE,Burst of air,强气流,5,120,80,"1,2","1,1",data/entities/projectiles/deck/light_bullet_air.xml,,,,A brittle burst of air capable of greatly pushing objects,能够大幅推动物体的一道气流,"投射物/触发: add_projectile(""data/entities/projectiles/deck/light_bullet_air.xml"") | 状态修正: c.fire_rate_wait += 3; c.spread_degrees -= 2.0",5
13,SLOW_BULLET,ACTION_TYPE_PROJECTILE,Energy orb,能量球,30,50,160,"1,2,3,4","1,1,1,1",data/entities/projectiles/deck/bullet_slow.xml,data/entities/misc/custom_cards/bullet_slow.xml,,,A slow but powerful orb of energy,缓慢而强大的能量球体,"投射物/触发: add_projectile(""data/entities/projectiles/deck/bullet_slow.xml"") | 状态修正: c.fire_rate_wait += 6; c.screenshake += 2; c.spread_degrees += 3.6",5
14,SLOW_BULLET_TRIGGER,ACTION_TYPE_PROJECTILE,Energy orb with a trigger,带有触发的能量球,50,50,200,"1,2,3,4,5","0.5,0.5,0.5,0.5,1",data/entities/projectiles/deck/bullet_slow.xml,data/entities/misc/custom_cards/bullet_slow.xml,,,A slow but powerful orb of energy that casts another spell upon collision,缓慢而强大的能量球体，在碰撞时施放另一法术,"投射物/触发: add_projectile_trigger_hit_world(""data/entities/projectiles/deck/bullet_slow.xml"", 1) | 状态修正: c.fire_rate_wait += 25; c.screenshake += 2; c.spread_degrees += 10",5
15,SLOW_BULLET_TIMER,ACTION_TYPE_PROJECTILE,Energy orb with a timer,带有定时的能量球,50,50,200,"1,2,3,4,5,6","0.5,0.5,0.5,0.5,1,1",data/entities/projectiles/deck/bullet_slow.xml,data/entities/misc/custom_cards/bullet_slow.xml,,,A slow but powerful orb of energy that casts another spell after a timer runs out,缓慢而强大的能量球体，在定时结束后施放另一法术,"投射物/触发: add_projectile_trigger_timer(""data/entities/projectiles/deck/bullet_slow.xml"", 100, 1) | 状态修正: c.fire_rate_wait += 6; c.screenshake += 2; c.spread_degrees += 3.6",5
16,HOOK,ACTION_TYPE_PROJECTILE,Hookbolt,飞钩,30,-1,120,"1,2,3,4,5","0.1,0.3,0.4,0.2,0.1",data/entities/projectiles/deck/hook.xml,,,,A glowing hook that pulls the caster towards itself upon collision,发光的钩子，会在碰撞时将施法者拉向自己,"投射物/触发: add_projectile(""data/entities/projectiles/deck/hook.xml"") | 状态修正: c.fire_rate_wait += 12",3
17,BLACK_HOLE,ACTION_TYPE_PROJECTILE,Black hole,黑洞,180,3,200,"0,2,4,5","0.8,0.8,0.8,0.8",data/entities/projectiles/deck/black_hole.xml,data/entities/misc/custom_cards/black_hole.xml,true,,A slow orb of void that eats through all obstacles,缓慢的虚无球体，会吞噬沿路的一切障碍,"投射物/触发: add_projectile(""data/entities/projectiles/deck/black_hole.xml"") | 状态修正: c.fire_rate_wait += 80; c.screenshake += 20",3
18,BLACK_HOLE_DEATH_TRIGGER,ACTION_TYPE_PROJECTILE,Black Hole with Death Trigger,带有死亡触发的黑洞,200,3,220,"2,4,5,6","0.5,0.5,0.5,0.5",data/entities/projectiles/deck/black_hole.xml,data/entities/misc/custom_cards/black_hole.xml,true,,A slow orb of void that eats through all obstacles and casts another spell as it expires,缓慢的虚无球体，会吞噬沿路的一切障碍，并在消散时释放另一法术,"投射物/触发: add_projectile_trigger_death(""data/entities/projectiles/deck/black_hole.xml"", 1) | 状态修正: c.fire_rate_wait += 90; c.screenshake += 20",3
